pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,pl_ratdor,pl_disc,pl_telescope,pl_pelink,pl_edelink,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age
Kepler-91,Kepler-91 b,Transit,1,6.24658000,1344.56,4550.00,1.31,6.30,2040,257.44230,15.323,2.496000,2013,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-91_b/,,K3,2.95,,,0.110,[Fe/H],
Kepler-910,Kepler-910 b,Transit,1,2.36436901,404.88,6230.00,1.26,1.50,,,0.820,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-910_b/,,,4.19,,,0.120,[Fe/H],3.390
Kepler-911,Kepler-911 b,Transit,1,20.31050100,565.08,6112.00,1.34,1.99,,,2.600,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-911_b/,,,3.97,,,0.030,[Fe/H],3.550
Kepler-912,Kepler-912 b,Transit,1,2.53475627,2122.13,5998.00,1.07,1.11,,,2.800,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-912_b/,,,4.37,,,0.020,[Fe/H],3.160
Kepler-913,Kepler-913 b,Transit,1,10.29672521,1019.26,4687.00,0.63,0.61,,,2.060,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-913_b/,,,4.67,,,-0.520,[Fe/H],5.620
Kepler-914,Kepler-914 b,Transit,1,4.40966548,770.44,5877.00,1.10,1.15,,,1.380,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-914_b/,,,4.36,,,0.220,[Fe/H],3.980
Kepler-915,Kepler-915 b,Transit,1,4.59489604,870.34,6173.00,1.21,1.38,,,1.500,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-915_b/,,,4.24,,,0.080,[Fe/H],3.390
Kepler-916,Kepler-916 b,Transit,1,32.29687980,850.86,5248.00,0.85,0.81,,,1.760,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-916_b/,,,4.56,,,-0.050,[Fe/H],4.790
Kepler-917,Kepler-917 b,Transit,1,2.97041437,3976.23,5418.00,0.80,0.76,,,1.910,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-917_b/,,,4.58,,,-0.380,[Fe/H],4.170
Kepler-918,Kepler-918 b,Transit,1,4.85386933,1055.16,6028.00,1.11,1.14,,,1.740,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-918_b/,,,4.37,,,0.060,[Fe/H],3.240
Kepler-919,Kepler-919 b,Transit,1,11.04603384,1155.94,6113.00,1.15,1.21,,,2.250,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-919_b/,,,4.33,,,0.070,[Fe/H],3.020
Kepler-92,Kepler-92 d,Transit,3,49.35680000,484.62,5883.00,,1.53,,,2.067,,2015,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-92_d/,,,4.14,,,,,
Kepler-92,Kepler-92 b,Transit,3,13.74900000,484.62,5883.00,,1.53,,64.30000,3.510,,2013,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-92_b/,,,4.14,,,,,
Kepler-92,Kepler-92 c,Transit,3,26.72300000,484.62,5883.00,,1.53,,6.10000,2.600,,2013,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-92_c/,,,4.14,,,,,
Kepler-920,Kepler-920 c,Transit,2,100.82741130,1031.12,5403.00,0.89,0.85,,,3.800,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-920_c/,,,4.54,,,0.000,[Fe/H],4.370
Kepler-920,Kepler-920 b,Transit,2,6.53192704,1031.12,5403.00,0.89,0.85,,,2.420,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-920_b/,,,4.54,,,0.000,[Fe/H],4.370
Kepler-921,Kepler-921 b,Transit,1,51.30063400,960.22,5663.00,0.93,0.91,,,2.870,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-921_b/,,,4.50,,,-0.120,[Fe/H],4.270
Kepler-922,Kepler-922 b,Transit,1,0.93846683,544.76,5671.00,0.95,0.93,,,1.420,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-922_b/,,,4.48,,,-0.050,[Fe/H],4.370
Kepler-923,Kepler-923 b,Transit,1,6.93366476,1029.57,5988.00,1.11,1.26,,,1.380,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-923_b/,,,4.28,,,0.070,[Fe/H],4.680
Kepler-924,Kepler-924 b,Transit,1,61.03701170,1085.72,6167.00,1.14,1.23,,,3.070,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-924_b/,,,4.32,,,0.010,[Fe/H],3.090
Kepler-925,Kepler-925 b,Transit,1,33.86785310,621.59,4673.00,0.77,0.72,,,2.340,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-925_b/,,,4.62,,,0.120,[Fe/H],2.570
Kepler-926,Kepler-926 b,Transit,1,52.06886010,945.60,5806.00,1.01,1.01,,,2.310,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-926_b/,,,4.43,,,0.030,[Fe/H],4.370
Kepler-927,Kepler-927 b,Transit,1,9.11499030,852.01,5743.00,0.99,0.99,,,1.720,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-927_b/,,,4.45,,,0.030,[Fe/H],4.370
Kepler-928,Kepler-928 b,Transit,1,3.93246130,516.28,4700.00,0.73,0.70,,,1.590,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-928_b/,,,4.62,,,-0.110,[Fe/H],4.370
Kepler-929,Kepler-929 b,Transit,1,0.92103214,1361.74,5869.00,1.01,1.02,,,1.110,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-929_b/,,,4.42,,,-0.040,[Fe/H],3.470
Kepler-93,Kepler-93 b,Transit,2,4.72674000,96.18,5669.00,1.09,0.98,,3.17830,1.569,12.500000,2014,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-93_b/,,,4.47,,1.6500,-0.180,[Fe/H],
Kepler-93,Kepler-93 c,Radial Velocity,2,1460.00000000,96.18,5669.00,1.09,0.98,,954.00000,,,2014,10 m Keck I Telescope,http://exoplanet.eu/catalog/Kepler-93_c/,,,4.47,,1.6500,-0.180,[Fe/H],
Kepler-930,Kepler-930 b,Transit,1,71.45177750,869.53,6335.00,1.25,1.40,,,2.130,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-930_b/,,,4.24,,,0.040,[Fe/H],2.340
Kepler-931,Kepler-931 b,Transit,1,8.03755877,,5241.00,0.86,0.81,,,1.330,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-931_b/,,,4.55,,,-0.010,[Fe/H],4.680
Kepler-932,Kepler-932 b,Transit,1,1.92143740,471.92,5331.00,0.87,0.84,,,1.370,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-932_b/,,,4.54,,,-0.010,[Fe/H],4.680
Kepler-933,Kepler-933 b,Transit,1,14.20443009,1047.37,5346.00,0.87,0.84,,,2.460,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-933_b/,,,4.54,,,-0.020,[Fe/H],4.680
Kepler-934,Kepler-934 b,Transit,1,55.67383090,619.50,5001.00,0.81,0.77,,,2.090,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-934_b/,,,4.59,,,0.010,[Fe/H],4.470
Kepler-935,Kepler-935 b,Transit,1,4.88083852,478.27,4830.00,0.78,0.73,,,1.350,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-935_b/,,,4.61,,,-0.010,[Fe/H],3.800
