pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,pl_ratdor,pl_disc,pl_telescope,pl_pelink,pl_edelink,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age
GJ 504,GJ 504 b,Imaging,1,,17.54,6234,1.22,,510,1271.3,,,2013,8.2 m Subaru Telescope,http://exoplanet.eu/catalog/gj_504_b/,http://exoplanets.org/detail/GJ_504_b,G0 V,4.6,0.332,,0.28,[Fe/H],0.16
GJ 536,GJ 536 b,Radial Velocity,1,8.7076,10.41,3685,0.52,0.5,,,,,2016,null 3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_536_b/,,M1 V,4.75,-1.377,,-0.08,[Fe/H],
GJ 581,GJ 581 b,Radial Velocity,3,5.3686,6.3,,0.31,0.29,,,,,2005,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_581_b/,http://exoplanets.org/detail/GJ_581_b,M3 V,,-1.886,,-0.25,[Fe/H],2
GJ 581,GJ 581 c,Radial Velocity,3,12.914,6.3,,0.31,0.29,,,,,2007,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_581_c/,http://exoplanets.org/detail/GJ_581_c,M3 V,,-1.886,,-0.25,[Fe/H],2
GJ 581,GJ 581 e,Radial Velocity,3,3.149,6.3,,0.31,0.29,,,,,2009,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_581_e/,http://exoplanets.org/detail/GJ_581_e,M3 V,,-1.886,,-0.25,[Fe/H],2
GJ 625,GJ 625 b,Radial Velocity,1,14.628,6.47,3499,0.3,0.31,,,,,2017,Multiple Telescopes,http://exoplanet.eu/catalog/gj_625_b/,,M2,4.94,-1.894,,-0.38,[Fe/H],
GJ 649,GJ 649 b,Radial Velocity,1,598.3,10.38,3700,0.54,,,,,,2009,10 m Keck I Telescope,http://exoplanet.eu/catalog/gj_649_b/,http://exoplanets.org/detail/GJ_649_b,M0.5,,,,0.08,[Fe/H],
GJ 667 C,GJ 667 C b,Radial Velocity,5,7.2004,7.25,3350,0.33,,,,,,2011,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_667_c_b/,http://exoplanets.org/detail/GJ_667_C_b,M1.5 V,4.69,-1.863,,-0.55,[Fe/H],2
GJ 667 C,GJ 667 C c,Radial Velocity,5,28.14,7.25,3350,0.33,,,,,,2011,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_667_c_c/,http://exoplanets.org/detail/GJ_667_C_c,M1.5 V,4.69,-1.863,,-0.55,[Fe/H],2
GJ 667 C,GJ 667 C e,Radial Velocity,5,62.24,7.25,3350,0.33,,,,,,2013,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_667_c_e/,,M1.5 V,4.69,-1.863,,-0.55,[Fe/H],2
GJ 667 C,GJ 667 C f,Radial Velocity,5,39.026,7.25,3350,0.33,,,,,,2013,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_667_c_f/,,M1.5 V,4.69,-1.863,,-0.55,[Fe/H],2
GJ 667 C,GJ 667 C g,Radial Velocity,5,256.2,7.25,3350,0.33,,,,,,2013,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_667_c_g/,,M1.5 V,4.69,-1.863,,-0.55,[Fe/H],2
GJ 674,GJ 674 b,Radial Velocity,1,4.6938,4.55,3600,0.35,,,,,,2007,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_674_b/,http://exoplanets.org/detail/GJ_674_b,M2.5,,-1.796,,-0.28,[Fe/H],0.55
GJ 676 A,GJ 676 A b,Radial Velocity,4,1056.80005,16.03,3734,0.73,0.69,,,,,2010,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_676_a_b/,http://exoplanets.org/detail/GJ_676_A_b,M0 V,4.62,,,0.08,[Fe/H],
GJ 676 A,GJ 676 A c,Radial Velocity,4,7337,16.03,3734,0.73,0.69,,,,,2016,Very Large Telescope (Antu),http://exoplanet.eu/catalog/gj_676_a_c/,,M0 V,4.62,,,0.08,[Fe/H],
GJ 676 A,GJ 676 A d,Radial Velocity,4,3.6005,16.03,3734,0.73,0.69,,,,,2012,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_676_a_d/,,M0 V,4.62,,,0.08,[Fe/H],
GJ 676 A,GJ 676 A e,Radial Velocity,4,35.39,16.03,3734,0.73,0.69,,,,,2012,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_676_a_e/,,M0 V,4.62,,,0.08,[Fe/H],
GJ 682,GJ 682 b,Radial Velocity,2,17.478,5.01,3028,0.27,,,,,,2014,Multiple Telescopes,http://exoplanet.eu/catalog/gj_682_b/,,M3.5 V,,-2.699,,,,
GJ 682,GJ 682 c,Radial Velocity,2,57.32,5.01,3028,0.27,,,,,,2014,Multiple Telescopes,http://exoplanet.eu/catalog/gj_682_c/,,M3.5 V,,-2.699,,,,
GJ 685,GJ 685 b,Radial Velocity,1,24.16,14.32,3816,0.55,0.54,,,,,2019,Canon 400mm f/2.8L,http://exoplanet.eu/catalog/gj_685_b/,,M0.5,4.72,-1.253,,-0.15,[Fe/H],
